0,0
1,1
2,3
3,11
4,14
5,25
6,46
7,66
8,130
9,222
10,312
11,408
12,604
13,673
14,863
15,1005
16,1269
17,1625
18,1931
19,2305
20,2837
21,3042
22,3359
23,3680
24,3904
25,3946
26,4070
27,4139
28,4263
29,4295
30,4393
31,4106
32,3937
33,3622
34,3300
35,3083
36,3009
37,2825
38,2800
39,2819
40,2832
41,2706
42,2663
43,2521
44,2611
45,2600
46,2631
47,2604
48,2753
49,2963
50,3073
51,3134
52,3236
53,3290
54,3356
55,3570
56,3643
57,3744
58,3902
59,3991
60,4228
61,4129
62,4428
63,4476
64,4655
65,4797
66,4887
67,4953
68,4895
69,4939
70,5087
71,5193
72,5223
73,5277
74,5282
75,5547
76,5641
77,5695
78,5640
79,5882
80,5786
81,5731
82,5754
83,5602
84,5695
85,5578
86,5630
87,5534
88,5678
89,5477
90,5702
91,5711
92,5684
93,5674
94,5819
95,5801
96,5703
97,5704
98,5787
99,5801
100,5766
101,5776
102,5942
103,5840
104,5724
105,5714
106,5643
107,5481
108,5382
109,5337
110,5238
111,5079
112,5201
113,5240
114,5172
115,5081
116,4945
117,5010
118,5184
119,5172
120,5300
121,5595
122,5716
123,5792
124,6034
125,5861
126,6067
127,6085
128,6442
129,6615
130,6956
131,7083
132,7374
133,7515
134,7463
135,7663
136,7690
137,7829
138,8140
139,8179
140,8046
141,7730
142,7375
143,6800
144,6519
145,6164
146,5746
147,5507
148,5143
149,4871
150,4465
151,4126
152,3801
153,3620
154,3418
155,3247
156,3126
157,2979
158,2928
159,2749
160,2624
161,2431
162,2407
163,2229
164,2133
165,2207
166,2105
167,2023
168,1923
169,1948
170,1904
171,1846
172,1822
173,1838
174,1799
175,1804
176,1866
177,1798
178,1774
179,1759
180,1676
181,1694
182,1653
183,1556
184,1508
185,1440
186,1383
187,1427
188,1375
189,1341
190,1367
191,1341
192,1333
193,1328
194,1274
195,1263
196,1171
197,1196
198,1253
199,1192
200,1146
201,1113
202,1168
203,1118
204,1028
205,1007
206,1043
207,1055
208,927
209,957
210,848
211,829
212,812
213,803
214,732
215,709
216,670
217,628
218,604
219,621
220,557
221,528
222,537
223,483
224,468
225,456
226,450
227,406
228,429
229,388
230,419
231,427
232,407
233,425
234,430
235,372
236,383
237,370
238,397
239,371
240,363
241,365
242,329
243,301
244,297
245,248
246,237
247,237
248,224
249,187
250,156
251,139
252,105
253,87
254,60
255,327
